Resetting bucketsort data structure:
	Max interaction radius = 0.001
	Periodic = (1,1,0)
	Number of cells along each axis = (34,34,34)
	Cell sizes along each axis = (0.001,0.001,0.001)
2.76688e-16 1 -0.02
2.76688e-16 -1 0.02
1.95416e-06 0.977082 -0.0195416
1.95416e-06 -0.977082 0.0195416
3.87882e-06 0.962328 -0.0192466
3.87882e-06 -0.962328 0.0192466
5.77429e-06 0.947737 -0.0189547
5.77429e-06 -0.947737 0.0189547
7.64103e-06 0.933369 -0.0186674
7.64103e-06 -0.933369 0.0186674
9.47947e-06 0.919218 -0.0183844
9.47947e-06 -0.919218 0.0183844
1.129e-05 0.905281 -0.0181056
1.129e-05 -0.905281 0.0181056
1.30731e-05 0.891556 -0.0178311
1.30731e-05 -0.891556 0.0178311
1.48292e-05 0.878039 -0.0175608
1.48292e-05 -0.878039 0.0175608
1.65587e-05 0.864727 -0.0172945
1.65587e-05 -0.864727 0.0172945
1.82619e-05 0.851616 -0.0170323
1.82619e-05 -0.851616 0.0170323
1.99393e-05 0.838705 -0.0167741
1.99393e-05 -0.838705 0.0167741
2.15913e-05 0.825989 -0.0165198
2.15913e-05 -0.825989 0.0165198
2.32182e-05 0.813466 -0.0162693
2.32182e-05 -0.813466 0.0162693
2.48205e-05 0.801133 -0.0160227
2.48205e-05 -0.801133 0.0160227
2.63985e-05 0.788986 -0.0157797
2.63985e-05 -0.788986 0.0157797
2.79525e-05 0.777024 -0.0155405
2.79525e-05 -0.777024 0.0155405
2.9483e-05 0.765244 -0.0153049
2.9483e-05 -0.765244 0.0153049
3.09903e-05 0.753642 -0.0150728
3.09903e-05 -0.753642 0.0150728
3.24747e-05 0.742215 -0.0148443
3.24747e-05 -0.742215 0.0148443
3.39366e-05 0.730963 -0.0146193
3.39366e-05 -0.730963 0.0146193
3.53764e-05 0.71988 -0.0143976
3.53764e-05 -0.71988 0.0143976
3.67943e-05 0.708966 -0.0141793
3.67943e-05 -0.708966 0.0141793
3.81908e-05 0.698217 -0.0139643
3.81908e-05 -0.698217 0.0139643
3.9566e-05 0.687631 -0.0137526
3.9566e-05 -0.687631 0.0137526
4.09204e-05 0.677206 -0.0135441
4.09204e-05 -0.677206 0.0135441
4.22543e-05 0.666939 -0.0133388
4.22543e-05 -0.666939 0.0133388
4.3568e-05 0.656827 -0.0131365
4.3568e-05 -0.656827 0.0131365
4.48617e-05 0.646869 -0.0129374
4.48617e-05 -0.646869 0.0129374
4.61358e-05 0.637061 -0.0127412
4.61358e-05 -0.637061 0.0127412
4.73906e-05 0.627403 -0.0125481
4.73906e-05 -0.627403 0.0125481
4.86264e-05 0.61789 -0.0123578
4.86264e-05 -0.61789 0.0123578
4.98435e-05 0.608522 -0.0121704
4.98435e-05 -0.608522 0.0121704
5.1042e-05 0.599296 -0.0119859
5.1042e-05 -0.599296 0.0119859
5.22225e-05 0.59021 -0.0118042
5.22225e-05 -0.59021 0.0118042
5.3385e-05 0.581262 -0.0116252
5.3385e-05 -0.581262 0.0116252
5.45299e-05 0.572449 -0.011449
5.45299e-05 -0.572449 0.011449
5.56574e-05 0.56377 -0.0112754
5.56574e-05 -0.56377 0.0112754
5.67679e-05 0.555223 -0.0111045
5.67679e-05 -0.555223 0.0111045
5.78615e-05 0.546805 -0.0109361
5.78615e-05 -0.546805 0.0109361
5.89385e-05 0.538515 -0.0107703
5.89385e-05 -0.538515 0.0107703
5.99992e-05 0.53035 -0.010607
5.99992e-05 -0.53035 0.010607
6.10438e-05 0.522309 -0.0104462
6.10438e-05 -0.522309 0.0104462
6.20726e-05 0.51439 -0.0102878
6.20726e-05 -0.51439 0.0102878
6.30858e-05 0.506592 -0.0101318
6.30858e-05 -0.506592 0.0101318
6.40836e-05 0.498911 -0.00997822
6.40836e-05 -0.498911 0.00997822
6.50663e-05 0.491347 -0.00982694
6.50663e-05 -0.491347 0.00982694
6.60341e-05 0.483897 -0.00967795
6.60341e-05 -0.483897 0.00967795
6.69872e-05 0.476561 -0.00953122
6.69872e-05 -0.476561 0.00953122
6.79259e-05 0.469336 -0.00938671
6.79259e-05 -0.469336 0.00938671
6.88503e-05 0.46222 -0.0092444
6.88503e-05 -0.46222 0.0092444
6.97608e-05 0.455212 -0.00910424
6.97608e-05 -0.455212 0.00910424
7.06574e-05 0.448311 -0.00896621
7.06574e-05 -0.448311 0.00896621
7.15404e-05 0.441514 -0.00883027
7.15404e-05 -0.441514 0.00883027
7.24101e-05 0.43482 -0.00869639
7.24101e-05 -0.43482 0.00869639
7.32665e-05 0.428227 -0.00856455
7.32665e-05 -0.428227 0.00856455
7.411e-05 0.421735 -0.0084347
7.411e-05 -0.421735 0.0084347
7.49407e-05 0.415341 -0.00830682
7.49407e-05 -0.415341 0.00830682
7.57587e-05 0.409044 -0.00818087
7.57587e-05 -0.409044 0.00818087
7.65644e-05 0.402842 -0.00805684
7.65644e-05 -0.402842 0.00805684
7.73579e-05 0.396734 -0.00793469
7.73579e-05 -0.396734 0.00793469
7.81393e-05 0.390719 -0.00781439
7.81393e-05 -0.390719 0.00781439
7.89089e-05 0.384796 -0.00769591
7.89089e-05 -0.384796 0.00769591
7.96669e-05 0.378962 -0.00757923
7.96669e-05 -0.378962 0.00757923
8.04133e-05 0.373216 -0.00746432
8.04133e-05 -0.373216 0.00746432
8.11484e-05 0.367558 -0.00735115
8.11484e-05 -0.367558 0.00735115
8.18724e-05 0.361985 -0.0072397
8.18724e-05 -0.361985 0.0072397
8.25854e-05 0.356497 -0.00712994
8.25854e-05 -0.356497 0.00712994
8.32876e-05 0.351092 -0.00702184
8.32876e-05 -0.351092 0.00702184
8.39791e-05 0.345769 -0.00691538
8.39791e-05 -0.345769 0.00691538
8.46601e-05 0.340527 -0.00681053
8.46601e-05 -0.340527 0.00681053
8.53309e-05 0.335364 -0.00670728
8.53309e-05 -0.335364 0.00670728
8.59914e-05 0.330279 -0.00660559
8.59914e-05 -0.330279 0.00660559
8.6642e-05 0.325272 -0.00650544
8.6642e-05 -0.325272 0.00650544
8.72827e-05 0.32034 -0.00640681
8.72827e-05 -0.32034 0.00640681
8.79136e-05 0.315484 -0.00630967
8.79136e-05 -0.315484 0.00630967
8.8535e-05 0.3107 -0.00621401
8.8535e-05 -0.3107 0.00621401
8.9147e-05 0.30599 -0.0061198
8.9147e-05 -0.30599 0.0061198
8.97497e-05 0.301351 -0.00602701
8.97497e-05 -0.301351 0.00602701
9.03433e-05 0.296782 -0.00593564
9.03433e-05 -0.296782 0.00593564
9.09278e-05 0.292282 -0.00584564
9.09278e-05 -0.292282 0.00584564
9.15035e-05 0.287851 -0.00575702
9.15035e-05 -0.287851 0.00575702
9.20705e-05 0.283487 -0.00566973
9.20705e-05 -0.283487 0.00566973
9.26289e-05 0.279189 -0.00558377
9.26289e-05 -0.279189 0.00558377
9.31788e-05 0.274956 -0.00549912
9.31788e-05 -0.274956 0.00549912
9.37204e-05 0.270787 -0.00541574
9.37204e-05 -0.270787 0.00541574
9.42537e-05 0.266682 -0.00533363
9.42537e-05 -0.266682 0.00533363
9.4779e-05 0.262638 -0.00525277
9.4779e-05 -0.262638 0.00525277
9.52963e-05 0.258656 -0.00517313
9.52963e-05 -0.258656 0.00517313
9.58058e-05 0.254735 -0.0050947
9.58058e-05 -0.254735 0.0050947
9.63075e-05 0.250873 -0.00501746
9.63075e-05 -0.250873 0.00501746
9.68017e-05 0.247069 -0.00494138
9.68017e-05 -0.247069 0.00494138
9.72883e-05 0.243323 -0.00486647
9.72883e-05 -0.243323 0.00486647
9.77676e-05 0.239634 -0.00479268
9.77676e-05 -0.239634 0.00479268
9.82396e-05 0.236001 -0.00472002
9.82396e-05 -0.236001 0.00472002
9.87044e-05 0.232423 -0.00464846
9.87044e-05 -0.232423 0.00464846
9.91622e-05 0.228899 -0.00457798
9.91622e-05 -0.228899 0.00457798
9.96131e-05 0.225429 -0.00450858
9.96131e-05 -0.225429 0.00450858
0.000100057 0.222011 -0.00444022
0.000100057 -0.222011 0.00444022
0.000100494 0.218645 -0.0043729
0.000100494 -0.218645 0.0043729
0.000100925 0.21533 -0.0043066
0.000100925 -0.21533 0.0043066
0.000101349 0.212065 -0.00424131
0.000101349 -0.212065 0.00424131
0.000101767 0.20885 -0.004177
0.000101767 -0.20885 0.004177
0.000102178 0.205684 -0.00411368
0.000102178 -0.205684 0.00411368
0.000102583 0.202565 -0.00405131
0.000102583 -0.202565 0.00405131
0.000102982 0.199494 -0.00398988
0.000102982 -0.199494 0.00398988
0.000103375 0.19647 -0.00392939
0.000103375 -0.19647 0.00392939
0.000103762 0.193491 -0.00386982
0.000103762 -0.193491 0.00386982
0.000104143 0.190557 -0.00381115
0.000104143 -0.190557 0.00381115
0.000104519 0.187668 -0.00375337
0.000104519 -0.187668 0.00375337
0.000104888 0.184823 -0.00369646
0.000104888 -0.184823 0.00369646
0.000105252 0.182021 -0.00364042
0.000105252 -0.182021 0.00364042
0.000105611 0.179261 -0.00358522
0.000105611 -0.179261 0.00358522
0.000105964 0.176543 -0.00353087
0.000105964 -0.176543 0.00353087
0.000106312 0.173867 -0.00347733
0.000106312 -0.173867 0.00347733
0.000106654 0.171231 -0.00342461
0.000106654 -0.171231 0.00342461
0.000106992 0.168635 -0.00337269
0.000106992 -0.168635 0.00337269
0.000107324 0.166078 -0.00332156
0.000107324 -0.166078 0.00332156
0.000107651 0.16356 -0.0032712
0.000107651 -0.16356 0.0032712
0.000107973 0.16108 -0.0032216
0.000107973 -0.16108 0.0032216
0.00010829 0.158638 -0.00317276
0.00010829 -0.158638 0.00317276
0.000108603 0.156233 -0.00312466
0.000108603 -0.156233 0.00312466
0.00010891 0.153864 -0.00307728
0.00010891 -0.153864 0.00307728
0.000109213 0.151531 -0.00303063
0.000109213 -0.151531 0.00303063
0.000109512 0.149234 -0.00298468
0.000109512 -0.149234 0.00298468
0.000109806 0.146971 -0.00293943
0.000109806 -0.146971 0.00293943
0.000110095 0.144743 -0.00289486
0.000110095 -0.144743 0.00289486
0.00011038 0.142549 -0.00285097
0.00011038 -0.142549 0.00285097
0.000110661 0.140387 -0.00280775
0.000110661 -0.140387 0.00280775
0.000110938 0.138259 -0.00276518
0.000110938 -0.138259 0.00276518
0.00011121 0.136163 -0.00272326
0.00011121 -0.136163 0.00272326
0.000111478 0.134098 -0.00268197
0.000111478 -0.134098 0.00268197
0.000111742 0.132065 -0.00264131
0.000111742 -0.132065 0.00264131
0.000112003 0.130063 -0.00260126
0.000112003 -0.130063 0.00260126
0.000112259 0.128091 -0.00256182
0.000112259 -0.128091 0.00256182
0.000112511 0.126149 -0.00252298
0.000112511 -0.126149 0.00252298
0.00011276 0.124236 -0.00248473
0.00011276 -0.124236 0.00248473
0.000113004 0.122353 -0.00244706
0.000113004 -0.122353 0.00244706
0.000113245 0.120498 -0.00240996
0.000113245 -0.120498 0.00240996
0.000113483 0.118671 -0.00237342
0.000113483 -0.118671 0.00237342
0.000113716 0.116872 -0.00233743
0.000113716 -0.116872 0.00233743
0.000113946 0.1151 -0.002302
0.000113946 -0.1151 0.002302
0.000114173 0.113355 -0.0022671
0.000114173 -0.113355 0.0022671
0.000114396 0.111636 -0.00223272
0.000114396 -0.111636 0.00223272
0.000114616 0.109944 -0.00219887
0.000114616 -0.109944 0.00219887
0.000114833 0.108277 -0.00216553
0.000114833 -0.108277 0.00216553
0.000115046 0.106635 -0.0021327
0.000115046 -0.106635 0.0021327
0.000115256 0.105018 -0.00210037
0.000115256 -0.105018 0.00210037
0.000115463 0.103426 -0.00206852
0.000115463 -0.103426 0.00206852
0.000115667 0.101858 -0.00203716
0.000115667 -0.101858 0.00203716
0.000115867 0.100314 -0.00200628
0.000115867 -0.100314 0.00200628
0.000116065 0.0987929 -0.00197586
0.000116065 -0.0987929 0.00197586
0.00011626 0.0972951 -0.0019459
0.00011626 -0.0972951 0.0019459
0.000116451 0.09582 -0.0019164
0.000116451 -0.09582 0.0019164
0.00011664 0.0943672 -0.00188734
0.00011664 -0.0943672 0.00188734
0.000116826 0.0929365 -0.00185873
0.000116826 -0.0929365 0.00185873
0.000117009 0.0915275 -0.00183055
0.000117009 -0.0915275 0.00183055
0.000117189 0.0901398 -0.0018028
0.000117189 -0.0901398 0.0018028
0.000117367 0.0887732 -0.00177546
0.000117367 -0.0887732 0.00177546
0.000117542 0.0874273 -0.00174855
0.000117542 -0.0874273 0.00174855
0.000117714 0.0861017 -0.00172203
0.000117714 -0.0861017 0.00172203
0.000117883 0.0847963 -0.00169593
0.000117883 -0.0847963 0.00169593
0.00011805 0.0835107 -0.00167021
0.00011805 -0.0835107 0.00167021
0.000118215 0.0822446 -0.00164489
0.000118215 -0.0822446 0.00164489
0.000118377 0.0809977 -0.00161995
0.000118377 -0.0809977 0.00161995
0.000118536 0.0797696 -0.00159539
0.000118536 -0.0797696 0.00159539
0.000118694 0.0785602 -0.0015712
0.000118694 -0.0785602 0.0015712
0.000118848 0.0773691 -0.00154738
0.000118848 -0.0773691 0.00154738
0.000119001 0.0761961 -0.00152392
0.000119001 -0.0761961 0.00152392
0.000119151 0.0750409 -0.00150082
0.000119151 -0.0750409 0.00150082
0.000119299 0.0739032 -0.00147806
0.000119299 -0.0739032 0.00147806
0.000119444 0.0727827 -0.00145565
0.000119444 -0.0727827 0.00145565
0.000119587 0.0716792 -0.00143358
0.000119587 -0.0716792 0.00143358
0.000119729 0.0705925 -0.00141185
0.000119729 -0.0705925 0.00141185
0.000119868 0.0695222 -0.00139044
0.000119868 -0.0695222 0.00139044
0.000120005 0.0684682 -0.00136936
0.000120005 -0.0684682 0.00136936
0.00012014 0.0674301 -0.0013486
0.00012014 -0.0674301 0.0013486
0.000120272 0.0664078 -0.00132816
0.000120272 -0.0664078 0.00132816
0.000120403 0.065401 -0.00130802
0.000120403 -0.065401 0.00130802
0.000120532 0.0644094 -0.00128819
0.000120532 -0.0644094 0.00128819
0.000120659 0.0634329 -0.00126866
0.000120659 -0.0634329 0.00126866
0.000120784 0.0624711 -0.00124942
0.000120784 -0.0624711 0.00124942
0.000120907 0.061524 -0.00123048
0.000120907 -0.061524 0.00123048
0.000121028 0.0605912 -0.00121182
0.000121028 -0.0605912 0.00121182
0.000121147 0.0596726 -0.00119345
0.000121147 -0.0596726 0.00119345
0.000121265 0.0587679 -0.00117536
0.000121265 -0.0587679 0.00117536
0.000121381 0.0578769 -0.00115754
0.000121381 -0.0578769 0.00115754
0.000121495 0.0569994 -0.00113999
0.000121495 -0.0569994 0.00113999
0.000121607 0.0561352 -0.0011227
0.000121607 -0.0561352 0.0011227
0.000121717 0.0552841 -0.00110568
0.000121717 -0.0552841 0.00110568
0.000121826 0.0544459 -0.00108892
0.000121826 -0.0544459 0.00108892
0.000121934 0.0536205 -0.00107241
0.000121934 -0.0536205 0.00107241
0.000122039 0.0528075 -0.00105615
0.000122039 -0.0528075 0.00105615
0.000122143 0.0520069 -0.00104014
0.000122143 -0.0520069 0.00104014
0.000122246 0.0512184 -0.00102437
0.000122246 -0.0512184 0.00102437
0.000122347 0.0504419 -0.00100884
0.000122347 -0.0504419 0.00100884
0.000122446 0.0496771 -0.000993542
0.000122446 -0.0496771 0.000993542
0.000122544 0.0489239 -0.000978479
0.000122544 -0.0489239 0.000978479
0.00012264 0.0481822 -0.000963644
0.00012264 -0.0481822 0.000963644
0.000122735 0.0474517 -0.000949034
0.000122735 -0.0474517 0.000949034
0.000122828 0.0467323 -0.000934645
0.000122828 -0.0467323 0.000934645
0.000122921 0.0460237 -0.000920475
0.000122921 -0.0460237 0.000920475
0.000123011 0.045326 -0.000906519
0.000123011 -0.045326 0.000906519
0.0001231 0.0446388 -0.000892775
0.0001231 -0.0446388 0.000892775
0.000123188 0.043962 -0.00087924
0.000123188 -0.043962 0.00087924
0.000123275 0.0432955 -0.000865909
0.000123275 -0.0432955 0.000865909
0.00012336 0.042639 -0.000852781
0.00012336 -0.042639 0.000852781
0.000123444 0.0419926 -0.000839852
0.000123444 -0.0419926 0.000839852
0.000123527 0.0413559 -0.000827118
0.000123527 -0.0413559 0.000827118
0.000123608 0.0407289 -0.000814578
0.000123608 -0.0407289 0.000814578
0.000123689 0.0401114 -0.000802228
0.000123689 -0.0401114 0.000802228
0.000123768 0.0395033 -0.000790065
0.000123768 -0.0395033 0.000790065
0.000123845 0.0389044 -0.000778087
0.000123845 -0.0389044 0.000778087
0.000123922 0.0383145 -0.00076629
0.000123922 -0.0383145 0.00076629
0.000123998 0.0377336 -0.000754672
0.000123998 -0.0377336 0.000754672
0.000124072 0.0371615 -0.000743231
0.000124072 -0.0371615 0.000743231
0.000124145 0.0365981 -0.000731962
0.000124145 -0.0365981 0.000731962
0.000124217 0.0360432 -0.000720865
0.000124217 -0.0360432 0.000720865
0.000124288 0.0354968 -0.000709936
0.000124288 -0.0354968 0.000709936
0.000124358 0.0349586 -0.000699172
0.000124358 -0.0349586 0.000699172
0.000124427 0.0344286 -0.000688572
0.000124427 -0.0344286 0.000688572
0.000124495 0.0339066 -0.000678132
0.000124495 -0.0339066 0.000678132
0.000124561 0.0333925 -0.000667851
0.000124561 -0.0333925 0.000667851
0.000124627 0.0328863 -0.000657725
0.000124627 -0.0328863 0.000657725
0.000124692 0.0323877 -0.000647753
0.000124692 -0.0323877 0.000647753
0.000124756 0.0318966 -0.000637933
0.000124756 -0.0318966 0.000637933
0.000124819 0.031413 -0.000628261
0.000124819 -0.031413 0.000628261
0.000124881 0.0309368 -0.000618735
0.000124881 -0.0309368 0.000618735
0.000124941 0.0304677 -0.000609355
0.000124941 -0.0304677 0.000609355
0.000125001 0.0300058 -0.000600116
0.000125001 -0.0300058 0.000600116
0.000125061 0.0295509 -0.000591018
0.000125061 -0.0295509 0.000591018
0.000125119 0.0291028 -0.000582057
0.000125119 -0.0291028 0.000582057
0.000125176 0.0286616 -0.000573232
0.000125176 -0.0286616 0.000573232
0.000125233 0.0282271 -0.000564541
0.000125233 -0.0282271 0.000564541
0.000125288 0.0277991 -0.000555982
0.000125288 -0.0277991 0.000555982
0.000125343 0.0273776 -0.000547553
0.000125343 -0.0273776 0.000547553
0.000125397 0.0269626 -0.000539251
0.000125397 -0.0269626 0.000539251
0.00012545 0.0265538 -0.000531075
0.00012545 -0.0265538 0.000531075
0.000125502 0.0261512 -0.000523024
0.000125502 -0.0261512 0.000523024
0.000125554 0.0257547 -0.000515094
0.000125554 -0.0257547 0.000515094
0.000125604 0.0253642 -0.000507284
0.000125604 -0.0253642 0.000507284
0.000125654 0.0249797 -0.000499593
0.000125654 -0.0249797 0.000499593
0.000125704 0.0246009 -0.000492019
0.000125704 -0.0246009 0.000492019
0.000125752 0.024228 -0.000484559
0.000125752 -0.024228 0.000484559
0.0001258 0.0238606 -0.000477213
0.0001258 -0.0238606 0.000477213
0.000125847 0.0234989 -0.000469978
0.000125847 -0.0234989 0.000469978
0.000125893 0.0231426 -0.000462852
0.000125893 -0.0231426 0.000462852
0.000125939 0.0227917 -0.000455835
0.000125939 -0.0227917 0.000455835
0.000125984 0.0224462 -0.000448924
0.000125984 -0.0224462 0.000448924
0.000126028 0.0221059 -0.000442117
0.000126028 -0.0221059 0.000442117
0.000126071 0.0217707 -0.000435414
0.000126071 -0.0217707 0.000435414
0.000126114 0.0214406 -0.000428813
0.000126114 -0.0214406 0.000428813
0.000126156 0.0211156 -0.000422312
0.000126156 -0.0211156 0.000422312
0.000126198 0.0207954 -0.000415909
0.000126198 -0.0207954 0.000415909
0.000126239 0.0204802 -0.000409603
0.000126239 -0.0204802 0.000409603
0.000126279 0.0201697 -0.000403393
0.000126279 -0.0201697 0.000403393
0.000126319 0.0198639 -0.000397277
0.000126319 -0.0198639 0.000397277
0.000126358 0.0195627 -0.000391254
0.000126358 -0.0195627 0.000391254
0.000126397 0.0192661 -0.000385322
0.000126397 -0.0192661 0.000385322
0.000126435 0.018974 -0.00037948
0.000126435 -0.018974 0.00037948
0.000126472 0.0186863 -0.000373727
0.000126472 -0.0186863 0.000373727
0.000126509 0.018403 -0.00036806
0.000126509 -0.018403 0.00036806
0.000126545 0.018124 -0.00036248
0.000126545 -0.018124 0.00036248
0.000126581 0.0178492 -0.000356984
0.000126581 -0.0178492 0.000356984
0.000126616 0.0175786 -0.000351572
0.000126616 -0.0175786 0.000351572
0.000126651 0.0173121 -0.000346242
0.000126651 -0.0173121 0.000346242
0.000126685 0.0170496 -0.000340992
0.000126685 -0.0170496 0.000340992
0.000126718 0.0167911 -0.000335823
0.000126718 -0.0167911 0.000335823
0.000126751 0.0165366 -0.000330731
0.000126751 -0.0165366 0.000330731
0.000126784 0.0162858 -0.000325717
0.000126784 -0.0162858 0.000325717
0.000126816 0.0160389 -0.000320778
0.000126816 -0.0160389 0.000320778
0.000126848 0.0157958 -0.000315915
0.000126848 -0.0157958 0.000315915
0.000126879 0.0155563 -0.000311125
0.000126879 -0.0155563 0.000311125
0.000126909 0.0153204 -0.000306408
0.000126909 -0.0153204 0.000306408
0.00012694 0.0150881 -0.000301763
0.00012694 -0.0150881 0.000301763
0.000126969 0.0148594 -0.000297188
0.000126969 -0.0148594 0.000297188
0.000126999 0.0146341 -0.000292682
0.000126999 -0.0146341 0.000292682
0.000127027 0.0144122 -0.000288244
0.000127027 -0.0144122 0.000288244
0.000127056 0.0141937 -0.000283874
0.000127056 -0.0141937 0.000283874
0.000127084 0.0139785 -0.00027957
0.000127084 -0.0139785 0.00027957
0.000127111 0.0137666 -0.000275332
0.000127111 -0.0137666 0.000275332
0.000127138 0.0135579 -0.000271157
0.000127138 -0.0135579 0.000271157
0.000127165 0.0133523 -0.000267046
0.000127165 -0.0133523 0.000267046
0.000127191 0.0131499 -0.000262998
0.000127191 -0.0131499 0.000262998
0.000127217 0.0129505 -0.00025901
0.000127217 -0.0129505 0.00025901
0.000127243 0.0127542 -0.000255083
0.000127243 -0.0127542 0.000255083
0.000127268 0.0125608 -0.000251216
0.000127268 -0.0125608 0.000251216
0.000127293 0.0123704 -0.000247407
0.000127293 -0.0123704 0.000247407
0.000127317 0.0121828 -0.000243656
0.000127317 -0.0121828 0.000243656
0.000127341 0.0119981 -0.000239962
0.000127341 -0.0119981 0.000239962
0.000127365 0.0118162 -0.000236324
0.000127365 -0.0118162 0.000236324
0.000127388 0.011637 -0.000232741
0.000127388 -0.011637 0.000232741
0.000127411 0.0114606 -0.000229212
0.000127411 -0.0114606 0.000229212
0.000127433 0.0112869 -0.000225737
0.000127433 -0.0112869 0.000225737
0.000127456 0.0111157 -0.000222315
0.000127456 -0.0111157 0.000222315
0.000127477 0.0109472 -0.000218944
0.000127477 -0.0109472 0.000218944
0.000127499 0.0107812 -0.000215625
0.000127499 -0.0107812 0.000215625
0.00012752 0.0106178 -0.000212355
0.00012752 -0.0106178 0.000212355
0.000127541 0.0104568 -0.000209136
0.000127541 -0.0104568 0.000209136
0.000127562 0.0102983 -0.000205965
0.000127562 -0.0102983 0.000205965
0.000127582 0.0101421 -0.000202842
0.000127582 -0.0101421 0.000202842
0.000127602 0.00998835 -0.000199767
0.000127602 -0.00998835 0.000199767
0.000127622 0.00983692 -0.000196738
0.000127622 -0.00983692 0.000196738
0.000127641 0.00968778 -0.000193756
0.000127641 -0.00968778 0.000193756
0.00012766 0.0095409 -0.000190818
0.00012766 -0.0095409 0.000190818
0.000127679 0.00939625 -0.000187925
0.000127679 -0.00939625 0.000187925
0.000127697 0.00925379 -0.000185076
0.000127697 -0.00925379 0.000185076
0.000127716 0.00911349 -0.00018227
0.000127716 -0.00911349 0.00018227
